ds;country;polygon_source;polygon_id;polygon_name;tiles_visited_related_change;ratio_single_tile_users;baseline_name;baseline_type
09/12/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.27377;0.27421;full_february;DAY_OF_WEEK
30/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.27469;0.26232;full_february;DAY_OF_WEEK
13/04/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.27681;0.26718;full_february;DAY_OF_WEEK
31/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.27902;0.26463;full_february;DAY_OF_WEEK
27/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.28245;0.28105;full_february;DAY_OF_WEEK
01/04/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.28447;0.27013;full_february;DAY_OF_WEEK
08/04/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.28583;0.27879;full_february;DAY_OF_WEEK
07/04/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.28841;0.28986;full_february;DAY_OF_WEEK
09/04/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.29037;0.29199;full_february;DAY_OF_WEEK
05/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.29082;0.28426;full_february;DAY_OF_WEEK
12/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.29104;0.29581;full_february;DAY_OF_WEEK
15/04/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.29175;0.27621;full_february;DAY_OF_WEEK
16/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.29264;0.25154;full_february;DAY_OF_WEEK
31/03/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.29312;0.29646;full_february;DAY_OF_WEEK
02/04/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.29422;0.27613;full_february;DAY_OF_WEEK
16/04/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.29625;0.28016;full_february;DAY_OF_WEEK
11/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.3026;0.28423;full_february;DAY_OF_WEEK
23/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.30632;0.25304;full_february;DAY_OF_WEEK
06/04/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.31041;0.28312;full_february;DAY_OF_WEEK
06/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.31132;0.28654;full_february;DAY_OF_WEEK
27/03/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.3155;0.28757;full_february;DAY_OF_WEEK
03/04/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.31974;0.27908;full_february;DAY_OF_WEEK
04/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.32138;0.28779;full_february;DAY_OF_WEEK
25/05/2020;IDN;GADM;IDN.9.2_1;Bandung;-0.32159;0.27715;full_february;DAY_OF_WEEK
